Identifiant du bureau de vote,Numéro du bureau de vote,geo_shape,geo_point_2d,Libellé du bureau de vote,Adresse,Code Postal
18-53,053,"{""coordinates"": [2.352728701278317, 48.88968435203663], ""type"": ""Point""}","48.88968435203663,2.352728701278317",ECOLE ELEMENTAIRE,5 RUE PIERRE BUDIN,75018
18-26,026,"{""coordinates"": [2.338452334149003, 48.88322840311427], ""type"": ""Point""}","48.88322840311427,2.338452334149003",ECOLE ELEMENTAIRE,15 RUE HOUDON,75018
18-48,048,"{""coordinates"": [2.340316322089324, 48.896314749663226], ""type"": ""Point""}","48.896314749663226,2.340316322089324",ECOLE ELEMENTAIRE,7 RUE GUSTAVE ROUANET,75018
17-63,063,"{""coordinates"": [2.290514942781118, 48.87881044967343], ""type"": ""Point""}","48.87881044967343,2.290514942781118",COLLEGE ANDRE MALRAUX,5BIS RUE SAINT FERDINAND,75017
17-16,016,"{""coordinates"": [2.308257070282751, 48.889977033452034], ""type"": ""Point""}","48.889977033452034,2.308257070282751",ECOLE MATERNELLE,24 RUE CHRISTINE DE PISAN,75017
18-8,008,"{""coordinates"": [2.346029170375744, 48.89188921604231], ""type"": ""Point""}","48.89188921604231,2.346029170375744",LYCEE SUZANNE VALADON,7 RUE FERDINAND FLOCON,75018
18-38,038,"{""coordinates"": [2.338471109427444, 48.89289609501013], ""type"": ""Point""}","48.89289609501013,2.338471109427444",ECOLE MATERNELLE,33 RUE DES CLOYS,75018
18-35,035,"{""coordinates"": [2.335810572389457, 48.89077288743592], ""type"": ""Point""}","48.89077288743592,2.335810572389457",ECOLE MATERNELLE,4 SQUARE LAMARCK,75018
18-51,051,"{""coordinates"": [2.353021908355296, 48.896813664299465], ""type"": ""Point""}","48.896813664299465,2.353021908355296",ECOLE ELEMENTAIRE,142 RUE DES POISSONNIERS,75018
18-50,050,"{""coordinates"": [2.342251148831807, 48.899127619182785], ""type"": ""Point""}","48.899127619182785,2.342251148831807",ECOLE ELEMENTAIRE,19 RUE FERNAND LABORI,75018
18-63,063,"{""coordinates"": [2.365122400585114, 48.89406873160156], ""type"": ""Point""}","48.89406873160156,2.365122400585114",ECOLE ELEMENTAIRE,33 RUE DE L EVANGILE,75018
17-21,021,"{""coordinates"": [2.324907367489848, 48.89647898099357], ""type"": ""Point""}","48.89647898099357,2.324907367489848",ECOLE ELEMENTAIRE,1 RUE JACQUES KELLNER,75017
17-41,041,"{""coordinates"": [2.297720761532415, 48.88069860255016], ""type"": ""Point""}","48.88069860255016,2.297720761532415",ECOLE MATERNELLE,31 RUE DES RENAUDES,75017
17-19,019,"{""coordinates"": [2.318990564141351, 48.896604038468915], ""type"": ""Point""}","48.896604038468915,2.318990564141351",ECOLE ELEMENTAIRE,92 BOULEVARD BESSIERES,75017
17-59,059,"{""coordinates"": [2.286964097542952, 48.886092218504764], ""type"": ""Point""}","48.886092218504764,2.286964097542952",ECOLE ELEMENTAIRE,7 AVENUE DE LA PORTE DE CHAMPERRET,75017
18-11,011,"{""coordinates"": [2.345148291204886, 48.89575027938108], ""type"": ""Point""}","48.89575027938108,2.345148291204886",ECOLE ELEMENTAIRE,69 RUE CHAMPIONNET,75018
18-13,013,"{""coordinates"": [2.345414861063095, 48.89826103417534], ""type"": ""Point""}","48.89826103417534,2.345414861063095",COLLEGE MAURICE UTRILLO,98 BOULEVARD NEY,75018
18-67,067,"{""coordinates"": [2.340098600813862, 48.89631194216269], ""type"": ""Point""}","48.89631194216269,2.340098600813862",COLLEGE HECTOR BERLIOZ - ANNEXE,9 RUE GUSTAVE ROUANET,75018
18-43,043,"{""coordinates"": [2.331824534966247, 48.89512421695821], ""type"": ""Point""}","48.89512421695821,2.331824534966247",ECOLE ELEMENTAIRE,44 RUE VAUVENARGUES,75018
17-12,012,"{""coordinates"": [2.315967657899578, 48.88525364124536], ""type"": ""Point""}","48.88525364124536,2.315967657899578",ECOLE ELEMENTAIRE,49 RUE LEGENDRE,75017
17-26,026,"{""coordinates"": [2.320981881587569, 48.89403148126463], ""type"": ""Point""}","48.89403148126463,2.320981881587569",ECOLE ELEMENTAIRE,61 RUE DE LA JONQUIERE,75017
17-9,009,"{""coordinates"": [2.3198273750643112, 48.88967602130894], ""type"": ""Point""}","48.88967602130894,2.3198273750643112",ECOLE MATERNELLE,4 RUE FOURNEYRON,75017
18-15,015,"{""coordinates"": [2.351436913678164, 48.895198281265046], ""type"": ""Point""}","48.895198281265046,2.351436913678164",COLLEGE GERARD PHILIPE,11 RUE CHAMPIONNET,75018
18-59,059,"{""coordinates"": [2.361925224773572, 48.88759160573877], ""type"": ""Point""}","48.88759160573877,2.361925224773572",COLLEGE AIME CESAIRE,2 ESPLANADE NATHALIE SARRAUTE,75018
18-40,040,"{""coordinates"": [2.334432561384511, 48.89237234843068], ""type"": ""Point""}","48.89237234843068,2.334432561384511",ECOLE MATERNELLE,4 RUE VAUVENARGUES,75018
18-44,044,"{""coordinates"": [2.335628779210904, 48.89634919174881], ""type"": ""Point""}","48.89634919174881,2.335628779210904",ECOLE ELEMENTAIRE,129 RUE BELLIARD,75018
18-54,054,"{""coordinates"": [2.352728701278317, 48.88968435203663], ""type"": ""Point""}","48.88968435203663,2.352728701278317",ECOLE ELEMENTAIRE,5 RUE PIERRE BUDIN,75018
18-18,018,"{""coordinates"": [2.347797855273587, 48.88793298089381], ""type"": ""Point""}","48.88793298089381,2.347797855273587",ECOLE ELEMENTAIRE,61 RUE DE CLIGNANCOURT,75018
17-13,013,"{""coordinates"": [2.310896770720142, 48.88650043571316], ""type"": ""Point""}","48.88650043571316,2.310896770720142",ECOLE ELEMENTAIRE,20 RUE JOUFFROY D ABBANS,75017
17-7,007,"{""coordinates"": [2.320797457836302, 48.88295338482713], ""type"": ""Point""}","48.88295338482713,2.320797457836302",ECOLE ELEMENTAIRE,10 RUE BOURSAULT,75017
17-53,053,"{""coordinates"": [2.290114140132448, 48.88354987789066], ""type"": ""Point""}","48.88354987789066,2.290114140132448",ECOLE MATERNELLE BAYEN,56 RUE BAYEN,75017
18-4,004,"{""coordinates"": [2.34396497986757, 48.89207701277023], ""type"": ""Point""}","48.89207701277023,2.34396497986757",ECOLE MATERNELLE,77 RUE DU MONT CENIS,75018
18-3,003,"{""coordinates"": [2.344687211542814, 48.89230356234001], ""type"": ""Point""}","48.89230356234001,2.344687211542814",MAIRIE D'ARRONDISSEMENT,1 PLACE JULES JOFFRIN,75018
18-66,066,"{""coordinates"": [2.345879669934115, 48.89164799782914], ""type"": ""Point""}","48.89164799782914,2.345879669934115",ECOLE ELEMENTAIRE,5 RUE FERDINAND FLOCON,75018
18-24,024,"{""coordinates"": [2.340865749764263, 48.88355381870436], ""type"": ""Point""}","48.88355381870436,2.340865749764263",ECOLE MATERNELLE,56 RUE D ORSEL,75018
18-47,047,"{""coordinates"": [2.340316322089324, 48.896314749663226], ""type"": ""Point""}","48.896314749663226,2.340316322089324",ECOLE ELEMENTAIRE,7 RUE GUSTAVE ROUANET,75018
18-60,060,"{""coordinates"": [2.361925224773572, 48.88759160573877], ""type"": ""Point""}","48.88759160573877,2.361925224773572",COLLEGE AIME CESAIRE,2 ESPLANADE NATHALIE SARRAUTE,75018
17-61,061,"{""coordinates"": [2.289375502632327, 48.8804542547162], ""type"": ""Point""}","48.8804542547162,2.289375502632327",ECOLE ELEMENTAIRE,221 BOULEVARD PEREIRE,75017
17-64,064,"{""coordinates"": [2.290101061345522, 48.878012858561775], ""type"": ""Point""}","48.878012858561775,2.290101061345522",ECOLE MATERNELLE,16 RUE DU COLONEL MOLL,75017
17-36,036,"{""coordinates"": [2.30123835569839, 48.8891018544135], ""type"": ""Point""}","48.8891018544135,2.30123835569839",ECOLE ELEMENTAIRE,2 RUE DE L ABBE ROUSSELOT,75017
17-54,054,"{""coordinates"": [2.293324667662588, 48.88088776297152], ""type"": ""Point""}","48.88088776297152,2.293324667662588",RESIDENCE DES TERNES,28 RUE BAYEN,75017
17-5,005,"{""coordinates"": [2.320797457836302, 48.88295338482713], ""type"": ""Point""}","48.88295338482713,2.320797457836302",ECOLE ELEMENTAIRE,10 RUE BOURSAULT,75017
18-56,056,"{""coordinates"": [2.352181939489183, 48.88641673283964], ""type"": ""Point""}","48.88641673283964,2.352181939489183",ECOLE ELEMENTAIRE,9 RUE RICHOMME,75018
18-32,032,"{""coordinates"": [2.329820195335964, 48.89161761960294], ""type"": ""Point""}","48.89161761960294,2.329820195335964",COLLEGE ANTOINE COYSEVOX,16 RUE COYSEVOX,75018
18-29,029,"{""coordinates"": [2.333969772330331, 48.88694475601386], ""type"": ""Point""}","48.88694475601386,2.333969772330331",ECOLE ELEMENTAIRE,62 RUE LEPIC,75018
